"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,19115,10814,10409,"Iowa","IA",-0.03745145182171261,"Louisa County","Louisa County","louisa-county-ia",402,25.893034825870647,0.0032383260508070926,71,25.893034825870647,402
2024,19117,8618,8792,"Iowa","IA",0.02019029937340444,"Lucas County","Lucas County","lucas-county-ia",431,20.39907192575406,0.002735263967594962,83,20.39907192575406,431
2024,19119,11930,12471,"Iowa","IA",0.045347862531433414,"Lyon County","Lyon County","lyon-county-ia",588,21.209183673469386,0.003879831317092444,60,21.209183673469386,588
2024,19121,16629,16902,"Iowa","IA",0.016417102651993476,"Madison County","Madison County","madison-county-ia",561,30.128342245989305,0.0052583520905698415,41,30.128342245989305,561
2024,19123,22160,21777,"Iowa","IA",-0.017283393501805078,"Mahaska County","Mahaska County","mahaska-county-ia",571,38.13835376532399,0.006775004938843891,28,38.13835376532399,571
2024,19125,33414,33910,"Iowa","IA",0.014844077332854422,"Marion County","Marion County","marion-county-ia",554,61.20938628158845,0.010549681658456002,21,61.20938628158845,554
2024,19127,40096,40207,"Iowa","IA",0.0027683559457303275,"Marshall County","Marshall County","marshall-county-ia",573,70.1692844677138,0.01250873047601122,15,70.1692844677138,573
2024,19129,14398,14731,"Iowa","IA",0.023128212251701585,"Mills County","Mills County","mills-county-ia",437,33.70938215102975,0.004582936022138465,51,33.70938215102975,437
2024,19131,10597,10492,"Iowa","IA",-0.009908464659809435,"Mitchell County","Mitchell County","mitchell-county-ia",469,22.37100213219616,0.0032641480377623225,70,22.37100213219616,469
2024,19133,8742,8480,"Iowa","IA",-0.029970258522077353,"Monona County","Monona County","monona-county-ia",694,12.219020172910662,0.002638198185305423,84,12.219020172910662,694
2024,19135,7593,7478,"Iowa","IA",-0.015145528776504658,"Monroe County","Monroe County","monroe-county-ia",434,17.23041474654378,0.002326467692183249,87,17.23041474654378,434
2024,19137,10333,10068,"Iowa","IA",-0.02564598858027678,"Montgomery County","Montgomery County","montgomery-county-ia",424,23.745283018867923,0.0031322381284970514,72,23.745283018867923,424
2024,19139,43143,42041,"Iowa","IA",-0.02554296177827231,"Muscatine County","Muscatine County","muscatine-county-ia",437,96.20366132723112,0.01307930305523883,14,96.20366132723112,437
2024,19141,14150,13939,"Iowa","IA",-0.01491166077738515,"O'Brien County","O'Brien County","o'brien-county-ia",573,24.326352530541012,0.004336538267095789,57,24.326352530541012,573
2024,19143,6198,5884,"Iowa","IA",-0.05066150371087452,"Osceola County","Osceola County","osceola-county-ia",399,14.746867167919799,0.0018305610993322062,96,14.746867167919799,399
2024,19145,15190,14852,"Iowa","IA",-0.0222514812376563,"Page County","Page County","page-county-ia",535,27.760747663551403,0.0046205801236033186,50,27.760747663551403,535
2024,19147,8986,8830,"Iowa","IA",-0.0173603383040285,"Palo Alto County","Palo Alto County","palo-alto-county-ia",564,15.656028368794326,0.0027470860821045854,82,15.656028368794326,564
2024,19149,25692,25722,"Iowa","IA",0.0011676786548342477,"Plymouth County","Plymouth County","plymouth-county-ia",863,29.805330243337195,0.008002327089908737,25,29.805330243337195,863
2024,19151,7065,6879,"Iowa","IA",-0.026326963906581735,"Pocahontas County","Pocahontas County","pocahontas-county-ia",577,11.922010398613518,0.0021401138345183966,91,11.922010398613518,577
2024,19153,493022,509326,"Iowa","IA",0.033069518195942615,"Polk County","Polk County","polk-county-ia",572,890.43006993007,0.15845553407180069,1,890.43006993007,572
2024,19155,93669,93293,"Iowa","IA",-0.004014134879202325,"Pottawattamie County","Pottawattamie County","pottawattamie-county-ia",951,98.09989484752892,0.02902422444595505,10,98.09989484752892,951
2024,19157,18631,18388,"Iowa","IA",-0.013042778165423208,"Poweshiek County","Poweshiek County","poweshiek-county-ia",585,31.43247863247863,0.005720658989551429,37,31.43247863247863,585
2024,19159,4639,4596,"Iowa","IA",-0.00926923906014232,"Ringgold County","Ringgold County","ringgold-county-ia",535,8.590654205607477,0.001429853639111288,98,8.590654205607477,535
2024,19161,9799,9683,"Iowa","IA",-0.011837942647208943,"Sac County","Sac County","sac-county-ia",575,16.84,0.0030124614420179727,76,16.84,575
2024,19163,174609,174789,"Iowa","IA",0.0010308746971805505,"Scott County","Scott County","scott-county-ia",458,381.6353711790393,0.05437830455322518,3,381.6353711790393,458
2024,19165,11735,11901,"Iowa","IA",0.014145717937792845,"Shelby County","Shelby County","shelby-county-ia",591,20.13705583756345,0.0037024995994480937,64,20.13705583756345,591
2024,19167,35885,36365,"Iowa","IA",0.01337606242162459,"Sioux County","Sioux County","sioux-county-ia",768,47.350260416666664,0.011313452477432984,18,47.350260416666664,768
2024,19169,98649,98875,"Iowa","IA",0.002290950744558984,"Story County","Story County","story-county-ia",573,172.55671902268762,0.030760830845763407,9,172.55671902268762,573
2024,19171,17081,16723,"Iowa","IA",-0.020958960248229075,"Tama County","Tama County","tama-county-ia",721,23.194174757281555,0.005202663709063984,43,23.194174757281555,721
2024,19173,5862,5973,"Iowa","IA",0.01893551688843398,"Taylor County","Taylor County","taylor-county-ia",532,11.227443609022556,0.0018582497359468503,95,11.227443609022556,532
2024,19175,12132,11909,"Iowa","IA",-0.018381140784701655,"Union County","Union County","union-county-ia",424,28.087264150943398,0.003704988465660646,63,28.087264150943398,424
2024,19177,7222,7280,"Iowa","IA",0.008031016338964303,"Van Buren County","Van Buren County","van-buren-county-ia",485,15.010309278350515,0.00226486825342258,90,15.010309278350515,485
2024,19179,35326,35251,"Iowa","IA",-0.002123082149125266,"Wapello County","Wapello County","wapello-county-ia",432,81.59953703703704,0.010966877857335078,20,81.59953703703704,432
2024,19181,52591,56107,"Iowa","IA",0.06685554562567741,"Warren County","Warren County","warren-county-ia",570,98.43333333333334,0.017455352073458885,11,98.43333333333334,570
2024,19183,22542,22578,"Iowa","IA",0.0015970188980569677,"Washington County","Washington County","washington-county-ia",569,39.68014059753954,0.007024202668375688,27,39.68014059753954,569
2024,19185,6512,6624,"Iowa","IA",0.017199017199017286,"Wayne County","Wayne County","wayne-county-ia",525,12.617142857142857,0.0020607812239932925,93,12.617142857142857,525
2024,19187,36996,36318,"Iowa","IA",-0.018326305546545574,"Webster County","Webster County","webster-county-ia",716,50.72346368715084,0.011298830388434239,19,50.72346368715084,716
2024,19189,10662,10503,"Iowa","IA",-0.01491277433877325,"Winnebago County","Winnebago County","winnebago-county-ia",400,26.2575,0.003267570228804582,69,26.2575,400
2024,19191,20045,19728,"Iowa","IA",-0.015814417560488847,"Winneshiek County","Winneshiek County","winneshiek-county-ia",690,28.591304347826085,0.006137544080153936,33,28.591304347826085,690
2024,19193,105912,106344,"Iowa","IA",0.004078857919782353,"Woodbury County","Woodbury County","woodbury-county-ia",873,121.81443298969072,0.033084498563457534,7,121.81443298969072,873
2024,19195,7436,7283,"Iowa","IA",-0.02057557826788592,"Worth County","Worth County","worth-county-ia",400,18.2075,0.002265801578252287,89,18.2075,400
2024,19197,12916,12617,"Iowa","IA",-0.02314958191390526,"Wright County","Wright County","wright-county-ia",580,21.75344827586207,0.003925253125471524,59,21.75344827586207,580
