((6, 15, 16), (19, 21, 22, 23), (4, 5, 7, 8, 14, 17, 18, 20), (1, 2, 3, 9, 10, 11, 12, 13, 24, 25))
((6, 15, 16), (21, 22, 23, 24), (7, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 25))
((6, 15, 16), (21, 22, 23, 24), (8, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 25))
((6, 15, 16), (21, 22, 23, 24), (12, 13, 14, 17, 18, 19, 20), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 25))
((6, 15, 16), (21, 22, 23, 24), (1, 2, 10, 11, 12, 13, 20, 25), (3, 4, 5, 7, 8, 9, 14, 17, 18, 19))
((6, 15, 16), (21, 22, 23, 24), (4, 5, 7, 14, 17, 18, 19, 20), (1, 2, 3, 8, 9, 10, 11, 12, 13, 25))
((6, 15, 16), (21, 22, 23, 24), (5, 7, 8, 14, 17, 18, 19, 20), (1, 2, 3, 4, 9, 10, 11, 12, 13, 25))
((6, 15, 16), (21, 22, 23, 24), (8, 9, 10, 11, 12, 13, 20, 25), (1, 2, 3, 4, 5, 7, 14, 17, 18, 19))
((6, 15, 16), (21, 22, 23, 24), (1, 2, 3, 4, 10, 11, 12, 13, 25), (5, 7, 8, 9, 14, 17, 18, 19, 20))
((6, 15, 16), (21, 22, 23, 24), (1, 2, 3, 10, 11, 12, 13, 20, 25), (4, 5, 7, 8, 9, 14, 17, 18, 19))
((6, 15, 16), (21, 22, 23, 24), (1, 2, 9, 10, 11, 12, 13, 20, 25), (3, 4, 5, 7, 8, 14, 17, 18, 19))
((12, 22, 23), (7, 8, 9, 13, 14, 15), (16, 17, 18, 19, 20, 21), (1, 2, 3, 4, 5, 6, 10, 11, 24, 25))
((12, 22, 24), (7, 8, 9, 13, 14, 15), (16, 17, 18, 19, 20, 21, 23), (1, 2, 3, 4, 5, 6, 10, 11, 25))
((12, 22, 23, 24), (7, 8, 9, 13, 14, 15), (16, 17, 18, 19, 20, 21), (1, 2, 3, 4, 5, 6, 10, 11, 25))
